Code BV;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Nuance liste 2;Voix 2;% Voix/exprimés 2;Nuance liste 3;Voix 3;% Voix/exprimés 3;Nuance liste 5;Voix 5;% Voix/exprimés 5;Nuance liste 6;Voix 6;% Voix/exprimés 6;Nuance liste 7;Voix 7;% Voix/exprimés 7;Nuance liste 8;Voix 8;% Voix/exprimés 8;Voix TOT_LEXG;% Voix/Exprimés TOT ExG
101;1122;707;63.01;415;36.99;698;62.21;98.73;8;0.71;1.13;1;0.09;0.14;LUXD;12.0;1.72;LUG;233.0;33.38;LEXD;86.0;12.32;LUC;78.0;11.17;LUD;223.0;31.95;LFI;58.0;8.31;8.0;1.15
102;1218;723;59.36;495;40.64;719;59.03;99.45;2;0.16;0.28;2;0.16;0.28;LUXD;7.0;0.97;LUG;264.0;36.72;LEXD;85.0;11.82;LUC;114.0;15.86;LUD;196.0;27.26;LFI;50.0;6.95;3.0;0.42
103;1256;751;59.79;505;40.21;744;59.24;99.07;3;0.24;0.4;4;0.32;0.53;LUXD;14.0;1.88;LUG;297.0;39.92;LEXD;73.0;9.81;LUC;102.0;13.71;LUD;181.0;24.33;LFI;67.0;9.01;10.0;1.35
104;1330;761;57.22;569;42.78;753;56.62;98.95;6;0.45;0.79;2;0.15;0.26;LUXD;8.0;1.06;LUG;287.0;38.11;LEXD;79.0;10.49;LUC;67.0;8.9;LUD;186.0;24.7;LFI;110.0;14.61;16.0;2.13
105;1133;668;58.96;465;41.04;657;57.99;98.35;6;0.53;0.9;5;0.44;0.75;LUXD;7.0;1.07;LUG;242.0;36.83;LEXD;71.0;10.81;LUC;100.0;15.22;LUD;152.0;23.14;LFI;77.0;11.72;8.0;1.22
106;1315;785;59.7;530;40.3;780;59.32;99.36;2;0.15;0.25;3;0.23;0.38;LUXD;15.0;1.92;LUG;293.0;37.56;LEXD;81.0;10.38;LUC;101.0;12.95;LUD;229.0;29.36;LFI;54.0;6.92;7.0;0.89
107;1123;697;62.07;426;37.93;690;61.44;99.0;3;0.27;0.43;4;0.36;0.57;LUXD;12.0;1.74;LUG;221.0;32.03;LEXD;79.0;11.45;LUC;86.0;12.46;LUD;240.0;34.78;LFI;46.0;6.67;6.0;0.86
108;1021;565;55.34;456;44.66;552;54.06;97.7;3;0.29;0.53;10;0.98;1.77;LUXD;10.0;1.81;LUG;141.0;25.54;LEXD;83.0;15.04;LUC;93.0;16.85;LUD;203.0;36.78;LFI;16.0;2.9;6.0;1.08
109;948;583;61.5;365;38.5;575;60.65;98.63;4;0.42;0.69;4;0.42;0.69;LUXD;9.0;1.57;LUG;127.0;22.09;LEXD;112.0;19.48;LUC;91.0;15.83;LUD;204.0;35.48;LFI;28.0;4.87;4.0;0.6900000000000001
110;932;568;60.94;364;39.06;561;60.19;98.77;4;0.43;0.7;3;0.32;0.53;LUXD;9.0;1.6;LUG;122.0;21.75;LEXD;92.0;16.4;LUC;78.0;13.9;LUD;221.0;39.39;LFI;36.0;6.42;3.0;0.54
211;1112;675;60.7;437;39.3;662;59.53;98.07;9;0.81;1.33;4;0.36;0.59;LUXD;12.0;1.81;LUG;206.0;31.12;LEXD;97.0;14.65;LUC;116.0;17.52;LUD;177.0;26.74;LFI;45.0;6.8;9.0;1.36
212;1062;636;59.89;426;40.11;628;59.13;98.74;5;0.47;0.79;3;0.28;0.47;LUXD;15.0;2.39;LUG;201.0;32.01;LEXD;83.0;13.22;LUC;100.0;15.92;LUD;161.0;25.64;LFI;57.0;9.08;11.0;1.76
213;898;491;54.68;407;45.32;489;54.45;99.59;1;0.11;0.2;1;0.11;0.2;LUXD;13.0;2.66;LUG;132.0;26.99;LEXD;77.0;15.75;LUC;73.0;14.93;LUD;147.0;30.06;LFI;44.0;9.0;3.0;0.61
214;1612;896;55.58;716;44.42;884;54.84;98.66;8;0.5;0.89;4;0.25;0.45;LUXD;11.0;1.24;LUG;358.0;40.5;LEXD;87.0;9.84;LUC;119.0;13.46;LUD;210.0;23.76;LFI;90.0;10.18;9.0;1.02
215;1525;903;59.21;622;40.79;895;58.69;99.11;6;0.39;0.66;2;0.13;0.22;LUXD;12.0;1.34;LUG;371.0;41.45;LEXD;91.0;10.17;LUC;131.0;14.64;LUD;192.0;21.45;LFI;88.0;9.83;10.0;1.12
216;1495;947;63.34;548;36.66;942;63.01;99.47;3;0.2;0.32;2;0.13;0.21;LUXD;16.0;1.7;LUG;372.0;39.49;LEXD;84.0;8.92;LUC;155.0;16.45;LUD;253.0;26.86;LFI;58.0;6.16;4.0;0.42
217;1568;942;60.08;626;39.92;931;59.38;98.83;5;0.32;0.53;6;0.38;0.64;LUXD;11.0;1.18;LUG;412.0;44.25;LEXD;82.0;8.81;LUC;112.0;12.03;LUD;219.0;23.52;LFI;84.0;9.02;11.0;1.18
218;1847;978;52.95;869;47.05;973;52.68;99.49;4;0.22;0.41;1;0.05;0.1;LUXD;10.0;1.03;LUG;418.0;42.96;LEXD;78.0;8.02;LUC;119.0;12.23;LUD;201.0;20.66;LFI;134.0;13.77;13.0;1.33
219;1847;1082;58.58;765;41.42;1070;57.93;98.89;5;0.27;0.46;7;0.38;0.65;LUXD;13.0;1.21;LUG;488.0;45.61;LEXD;71.0;6.64;LUC;138.0;12.9;LUD;232.0;21.68;LFI;117.0;10.93;11.0;1.03
220;1454;923;63.48;531;36.52;920;63.27;99.67;2;0.14;0.22;1;0.07;0.11;LUXD;8.0;0.87;LUG;448.0;48.7;LEXD;56.0;6.09;LUC;100.0;10.87;LUD;210.0;22.83;LFI;87.0;9.46;11.0;1.19
321;1454;894;61.49;560;38.51;881;60.59;98.55;11;0.76;1.23;2;0.14;0.22;LUXD;15.0;1.7;LUG;387.0;43.93;LEXD;86.0;9.76;LUC;102.0;11.58;LUD;202.0;22.93;LFI;80.0;9.08;9.0;1.02
322;1631;999;61.25;632;38.75;985;60.39;98.6;5;0.31;0.5;9;0.55;0.9;LUXD;11.0;1.12;LUG;487.0;49.44;LEXD;50.0;5.08;LUC;122.0;12.39;LUD;193.0;19.59;LFI;106.0;10.76;16.0;1.62
323;1330;842;63.31;488;36.69;835;62.78;99.17;5;0.38;0.59;2;0.15;0.24;LUXD;8.0;0.96;LUG;411.0;49.22;LEXD;76.0;9.1;LUC;89.0;10.66;LUD;173.0;20.72;LFI;69.0;8.26;9.0;1.08
324;1472;916;62.23;556;37.77;913;62.02;99.67;1;0.07;0.11;2;0.14;0.22;LUXD;9.0;0.99;LUG;409.0;44.8;LEXD;62.0;6.79;LUC;122.0;13.36;LUD;227.0;24.86;LFI;78.0;8.54;6.0;0.66
325;1334;839;62.89;495;37.11;831;62.29;99.05;4;0.3;0.48;4;0.3;0.48;LUXD;7.0;0.84;LUG;356.0;42.84;LEXD;62.0;7.46;LUC;123.0;14.8;LUD;216.0;25.99;LFI;57.0;6.86;10.0;1.2
326;1556;990;63.62;566;36.38;984;63.24;99.39;4;0.26;0.4;2;0.13;0.2;LUXD;11.0;1.12;LUG;439.0;44.61;LEXD;90.0;9.15;LUC;139.0;14.13;LUD;227.0;23.07;LFI;72.0;7.32;6.0;0.61
327;1546;981;63.45;565;36.55;952;61.58;97.04;25;1.62;2.55;4;0.26;0.41;LUXD;5.0;0.53;LUG;400.0;42.02;LEXD;80.0;8.4;LUC;121.0;12.71;LUD;253.0;26.58;LFI;81.0;8.51;12.0;1.27
328;1375;900;65.45;475;34.55;892;64.87;99.11;6;0.44;0.67;2;0.15;0.22;LUXD;8.0;0.9;LUG;366.0;41.03;LEXD;83.0;9.3;LUC;120.0;13.45;LUD;252.0;28.25;LFI;55.0;6.17;8.0;0.9000000000000001
329;1657;1008;60.83;649;39.17;991;59.81;98.31;13;0.78;1.29;4;0.24;0.4;LUXD;20.0;2.02;LUG;439.0;44.3;LEXD;95.0;9.59;LUC;109.0;11.0;LUD;234.0;23.61;LFI;76.0;7.67;18.0;1.81
330;1764;1035;58.67;729;41.33;1023;57.99;98.84;9;0.51;0.87;3;0.17;0.29;LUXD;10.0;0.98;LUG;485.0;47.41;LEXD;73.0;7.14;LUC;103.0;10.07;LUD;235.0;22.97;LFI;108.0;10.56;9.0;0.88
331;1614;1022;63.32;592;36.68;1011;62.64;98.92;9;0.56;0.88;2;0.12;0.2;LUXD;5.0;0.49;LUG;443.0;43.82;LEXD;66.0;6.53;LUC;132.0;13.06;LUD;260.0;25.72;LFI;96.0;9.5;9.0;0.89
332;1513;858;56.71;655;43.29;847;55.98;98.72;6;0.4;0.7;5;0.33;0.58;LUXD;8.0;0.94;LUG;381.0;44.98;LEXD;43.0;5.08;LUC;110.0;12.99;LUD;189.0;22.31;LFI;108.0;12.75;8.0;0.95
333;1589;904;56.89;685;43.11;896;56.39;99.12;4;0.25;0.44;4;0.25;0.44;LUXD;11.0;1.23;LUG;464.0;51.79;LEXD;56.0;6.25;LUC;87.0;9.71;LUD;162.0;18.08;LFI;107.0;11.94;9.0;1.0
334;1738;1107;63.69;631;36.31;1092;62.83;98.64;10;0.58;0.9;5;0.29;0.45;LUXD;11.0;1.01;LUG;558.0;51.1;LEXD;83.0;7.6;LUC;140.0;12.82;LUD;197.0;18.04;LFI;91.0;8.33;12.0;1.1
335;1489;914;61.38;575;38.62;905;60.78;99.02;7;0.47;0.77;2;0.13;0.22;LUXD;7.0;0.77;LUG;397.0;43.87;LEXD;92.0;10.17;LUC;112.0;12.38;LUD;200.0;22.1;LFI;87.0;9.61;10.0;1.1
436;1287;737;57.26;550;42.74;724;56.25;98.24;7;0.54;0.95;6;0.47;0.81;LUXD;12.0;1.66;LUG;271.0;37.43;LEXD;101.0;13.95;LUC;65.0;8.98;LUD;194.0;26.8;LFI;70.0;9.67;11.0;1.52
437;1185;779;65.74;406;34.26;770;64.98;98.84;7;0.59;0.9;2;0.17;0.26;LUXD;16.0;2.08;LUG;296.0;38.44;LEXD;72.0;9.35;LUC;96.0;12.47;LUD;200.0;25.97;LFI;86.0;11.17;4.0;0.52
438;1472;879;59.71;593;40.29;868;58.97;98.75;8;0.54;0.91;3;0.2;0.34;LUXD;8.0;0.92;LUG;423.0;48.73;LEXD;70.0;8.06;LUC;97.0;11.18;LUD;192.0;22.12;LFI;71.0;8.18;7.0;0.81
439;1351;861;63.73;490;36.27;846;62.62;98.26;11;0.81;1.28;4;0.3;0.46;LUXD;10.0;1.18;LUG;353.0;41.73;LEXD;87.0;10.28;LUC;93.0;10.99;LUD;189.0;22.34;LFI;101.0;11.94;13.0;1.54
440;1519;1015;66.82;504;33.18;1006;66.23;99.11;5;0.33;0.49;4;0.26;0.39;LUXD;22.0;2.19;LUG;391.0;38.87;LEXD;81.0;8.05;LUC;133.0;13.22;LUD;296.0;29.42;LFI;74.0;7.36;9.0;0.9
441;1738;1103;63.46;635;36.54;1088;62.6;98.64;6;0.35;0.54;9;0.52;0.82;LUXD;9.0;0.83;LUG;468.0;43.01;LEXD;100.0;9.19;LUC;143.0;13.14;LUD;268.0;24.63;LFI;84.0;7.72;16.0;1.47
442;1360;851;62.57;509;37.43;845;62.13;99.29;2;0.15;0.24;4;0.29;0.47;LUXD;11.0;1.3;LUG;332.0;39.29;LEXD;86.0;10.18;LUC;101.0;11.95;LUD;251.0;29.7;LFI;54.0;6.39;10.0;1.18
443;1820;1113;61.15;707;38.85;1095;60.16;98.38;13;0.71;1.17;5;0.27;0.45;LUXD;17.0;1.55;LUG;452.0;41.28;LEXD;128.0;11.69;LUC;139.0;12.69;LUD;252.0;23.01;LFI;95.0;8.68;12.0;1.1
444;1157;717;61.97;440;38.03;709;61.28;98.88;6;0.52;0.84;2;0.17;0.28;LUXD;14.0;1.97;LUG;233.0;32.86;LEXD;89.0;12.55;LUC;99.0;13.96;LUD;233.0;32.86;LFI;37.0;5.22;4.0;0.56
445;1012;633;62.55;379;37.45;621;61.36;98.1;8;0.79;1.26;4;0.4;0.63;LUXD;5.0;0.81;LUG;205.0;33.01;LEXD;78.0;12.56;LUC;79.0;12.72;LUD;213.0;34.3;LFI;39.0;6.28;2.0;0.32
446;1093;687;62.85;406;37.15;681;62.31;99.13;6;0.55;0.87;0;0.0;0.0;LUXD;5.0;0.73;LUG;260.0;38.18;LEXD;73.0;10.72;LUC;83.0;12.19;LUD;181.0;26.58;LFI;70.0;10.28;9.0;1.3199999999999998
447;1275;794;62.27;481;37.73;789;61.88;99.37;3;0.24;0.38;2;0.16;0.25;LUXD;2.0;0.25;LUG;326.0;41.32;LEXD;77.0;9.76;LUC;97.0;12.29;LUD;201.0;25.48;LFI;78.0;9.89;8.0;1.01
448;1712;985;57.54;727;42.46;971;56.72;98.58;9;0.53;0.91;5;0.29;0.51;LUXD;10.0;1.03;LUG;420.0;43.25;LEXD;77.0;7.93;LUC;103.0;10.61;LUD;239.0;24.61;LFI;111.0;11.43;11.0;1.13
449;1284;760;59.19;524;40.81;750;58.41;98.68;6;0.47;0.79;4;0.31;0.53;LUXD;6.0;0.8;LUG;320.0;42.67;LEXD;81.0;10.8;LUC;91.0;12.13;LUD;188.0;25.07;LFI;59.0;7.87;5.0;0.66
501;1575;966;61.33;609;38.67;948;60.19;98.14;12;0.76;1.24;6;0.38;0.62;LUXD;12.0;1.27;LUG;386.0;40.72;LEXD;108.0;11.39;LUC;131.0;13.82;LUD;220.0;23.21;LFI;78.0;8.23;13.0;1.37
502;1646;992;60.27;654;39.73;974;59.17;98.19;13;0.79;1.31;5;0.3;0.5;LUXD;21.0;2.16;LUG;356.0;36.55;LEXD;109.0;11.19;LUC;144.0;14.78;LUD;253.0;25.98;LFI;80.0;8.21;11.0;1.13
503;1737;1057;60.85;680;39.15;1039;59.82;98.3;13;0.75;1.23;5;0.29;0.47;LUXD;11.0;1.06;LUG;404.0;38.88;LEXD;119.0;11.45;LUC;131.0;12.61;LUD;267.0;25.7;LFI;96.0;9.24;11.0;1.06
504;1503;960;63.87;543;36.13;949;63.14;98.85;7;0.47;0.73;4;0.27;0.42;LUXD;14.0;1.48;LUG;367.0;38.67;LEXD;97.0;10.22;LUC;129.0;13.59;LUD;274.0;28.87;LFI;59.0;6.22;9.0;0.96
505;1316;809;61.47;507;38.53;792;60.18;97.9;13;0.99;1.61;4;0.3;0.49;LUXD;8.0;1.01;LUG;317.0;40.03;LEXD;60.0;7.58;LUC;134.0;16.92;LUD;188.0;23.74;LFI;75.0;9.47;10.0;1.27
506;1509;968;64.15;541;35.85;955;63.29;98.66;10;0.66;1.03;3;0.2;0.31;LUXD;12.0;1.26;LUG;394.0;41.26;LEXD;70.0;7.33;LUC;147.0;15.39;LUD;195.0;20.42;LFI;121.0;12.67;16.0;1.68
507;1579;1061;67.19;518;32.81;1046;66.24;98.59;13;0.82;1.23;2;0.13;0.19;LUXD;18.0;1.72;LUG;412.0;39.39;LEXD;132.0;12.62;LUC;179.0;17.11;LUD;220.0;21.03;LFI;78.0;7.46;7.0;0.6799999999999999
508;1622;1093;67.39;529;32.61;1079;66.52;98.72;9;0.55;0.82;5;0.31;0.46;LUXD;13.0;1.2;LUG;402.0;37.26;LEXD;98.0;9.08;LUC;188.0;17.42;LUD;297.0;27.53;LFI;70.0;6.49;11.0;1.02
509;1832;1235;67.41;597;32.59;1219;66.54;98.7;10;0.55;0.81;6;0.33;0.49;LUXD;12.0;0.98;LUG;520.0;42.66;LEXD;100.0;8.2;LUC;193.0;15.83;LUD;294.0;24.12;LFI;87.0;7.14;13.0;1.07
510;1605;1026;63.93;579;36.07;1015;63.24;98.93;6;0.37;0.58;5;0.31;0.49;LUXD;8.0;0.79;LUG;417.0;41.08;LEXD;80.0;7.88;LUC;158.0;15.57;LUD;249.0;24.53;LFI;95.0;9.36;8.0;0.7899999999999999
511;1606;1072;66.75;534;33.25;1053;65.57;98.23;12;0.75;1.12;7;0.44;0.65;LUXD;18.0;1.71;LUG;444.0;42.17;LEXD;60.0;5.7;LUC;179.0;17.0;LUD;245.0;23.27;LFI;92.0;8.74;15.0;1.4200000000000002
512;1650;1140;69.09;510;30.91;1124;68.12;98.6;8;0.48;0.7;8;0.48;0.7;LUXD;4.0;0.36;LUG;482.0;42.88;LEXD;99.0;8.81;LUC;194.0;17.26;LUD;236.0;21.0;LFI;97.0;8.63;12.0;1.06
513;1691;1059;62.63;632;37.37;1042;61.62;98.39;9;0.53;0.85;8;0.47;0.76;LUXD;13.0;1.25;LUG;436.0;41.84;LEXD;112.0;10.75;LUC;145.0;13.92;LUD;240.0;23.03;LFI;92.0;8.83;4.0;0.39
514;1326;838;63.2;488;36.8;826;62.29;98.57;3;0.23;0.36;9;0.68;1.07;LUXD;5.0;0.61;LUG;356.0;43.1;LEXD;74.0;8.96;LUC;117.0;14.16;LUD;172.0;20.82;LFI;90.0;10.9;12.0;1.45
515;1688;1100;65.17;588;34.83;1079;63.92;98.09;14;0.83;1.27;7;0.41;0.64;LUXD;19.0;1.76;LUG;496.0;45.97;LEXD;90.0;8.34;LUC;158.0;14.64;LUD;215.0;19.93;LFI;87.0;8.06;14.0;1.3
516;1609;1095;68.05;514;31.95;1083;67.31;98.9;8;0.5;0.73;4;0.25;0.37;LUXD;10.0;0.92;LUG;477.0;44.04;LEXD;96.0;8.86;LUC;144.0;13.3;LUD;204.0;18.84;LFI;142.0;13.11;10.0;0.92
517;1530;986;64.44;544;35.56;973;63.59;98.68;9;0.59;0.91;4;0.26;0.41;LUXD;16.0;1.64;LUG;430.0;44.19;LEXD;84.0;8.63;LUC;129.0;13.26;LUD;196.0;20.14;LFI;105.0;10.79;13.0;1.33
518;1367;899;65.76;468;34.24;888;64.96;98.78;7;0.51;0.78;4;0.29;0.44;LUXD;15.0;1.69;LUG;359.0;40.43;LEXD;79.0;8.9;LUC;100.0;11.26;LUD;207.0;23.31;LFI;119.0;13.4;9.0;1.01
519;1456;978;67.17;478;32.83;959;65.87;98.06;9;0.62;0.92;10;0.69;1.02;LUXD;8.0;0.83;LUG;406.0;42.34;LEXD;101.0;10.53;LUC;100.0;10.43;LUD;251.0;26.17;LFI;77.0;8.03;16.0;1.66
520;1588;972;61.21;616;38.79;954;60.08;98.15;5;0.31;0.51;13;0.82;1.34;LUXD;19.0;1.99;LUG;372.0;38.99;LEXD;85.0;8.91;LUC;142.0;14.88;LUD;214.0;22.43;LFI;109.0;11.43;13.0;1.35
521;1745;1101;63.09;644;36.91;1090;62.46;99.0;7;0.4;0.64;4;0.23;0.36;LUXD;11.0;1.01;LUG;478.0;43.85;LEXD;100.0;9.17;LUC;152.0;13.94;LUD;235.0;21.56;LFI;104.0;9.54;10.0;0.91
522;1485;977;65.79;508;34.21;964;64.92;98.67;11;0.74;1.13;2;0.13;0.2;LUXD;7.0;0.73;LUG;364.0;37.76;LEXD;112.0;11.62;LUC;159.0;16.49;LUD;235.0;24.38;LFI;75.0;7.78;12.0;1.24
523;1540;1024;66.49;516;33.51;1008;65.45;98.44;13;0.84;1.27;3;0.19;0.29;LUXD;17.0;1.69;LUG;361.0;35.81;LEXD;120.0;11.9;LUC;147.0;14.58;LUD;263.0;26.09;LFI;89.0;8.83;11.0;1.1
524;1620;1055;65.12;565;34.88;1033;63.77;97.91;12;0.74;1.14;10;0.62;0.95;LUXD;16.0;1.55;LUG;477.0;46.18;LEXD;92.0;8.91;LUC;155.0;15.0;LUD;179.0;17.33;LFI;98.0;9.49;16.0;1.5500000000000005
525;1702;1120;65.8;582;34.2;1108;65.1;98.93;10;0.59;0.89;2;0.12;0.18;LUXD;13.0;1.17;LUG;488.0;44.04;LEXD;95.0;8.57;LUC;150.0;13.54;LUD;249.0;22.47;LFI;98.0;8.84;15.0;1.35
601;1321;783;59.27;538;40.73;773;58.52;98.72;7;0.53;0.89;3;0.23;0.38;LUXD;8.0;1.03;LUG;226.0;29.24;LEXD;106.0;13.71;LUC;94.0;12.16;LUD;299.0;38.68;LFI;37.0;4.79;3.0;0.39
602;1351;831;61.51;520;38.49;822;60.84;98.92;6;0.44;0.72;3;0.22;0.36;LUXD;12.0;1.46;LUG;230.0;27.98;LEXD;115.0;13.99;LUC;118.0;14.36;LUD;307.0;37.35;LFI;39.0;4.74;1.0;0.12
603;1415;857;60.57;558;39.43;852;60.21;99.42;4;0.28;0.47;1;0.07;0.12;LUXD;9.0;1.06;LUG;270.0;31.69;LEXD;105.0;12.32;LUC;124.0;14.55;LUD;277.0;32.51;LFI;60.0;7.04;7.0;0.82
604;1071;630;58.82;441;41.18;624;58.26;99.05;5;0.47;0.79;1;0.09;0.16;LUXD;5.0;0.8;LUG;179.0;28.69;LEXD;76.0;12.18;LUC;108.0;17.31;LUD;207.0;33.17;LFI;42.0;6.73;7.0;1.12
605;1279;764;59.73;515;40.27;759;59.34;99.35;3;0.23;0.39;2;0.16;0.26;LUXD;7.0;0.92;LUG;239.0;31.49;LEXD;119.0;15.68;LUC;114.0;15.02;LUD;225.0;29.64;LFI;47.0;6.19;8.0;1.06
606;1196;709;59.28;487;40.72;701;58.61;98.87;5;0.42;0.71;3;0.25;0.42;LUXD;7.0;1.0;LUG;233.0;33.24;LEXD;99.0;14.12;LUC;98.0;13.98;LUD;213.0;30.39;LFI;46.0;6.56;5.0;0.72
607;1030;599;58.16;431;41.84;596;57.86;99.5;3;0.29;0.5;0;0.0;0.0;LUXD;4.0;0.67;LUG;130.0;21.81;LEXD;79.0;13.26;LUC;96.0;16.11;LUD;244.0;40.94;LFI;36.0;6.04;7.0;1.17
608;1058;621;58.7;437;41.3;614;58.03;98.87;4;0.38;0.64;3;0.28;0.48;LUXD;10.0;1.63;LUG;144.0;23.45;LEXD;70.0;11.4;LUC;96.0;15.64;LUD;256.0;41.69;LFI;33.0;5.37;5.0;0.8200000000000001
609;931;550;59.08;381;40.92;545;58.54;99.09;4;0.43;0.73;1;0.11;0.18;LUXD;6.0;1.1;LUG;147.0;26.97;LEXD;84.0;15.41;LUC;59.0;10.83;LUD;217.0;39.82;LFI;27.0;4.95;5.0;0.92
610;1156;774;66.96;382;33.04;763;66.0;98.58;8;0.69;1.03;3;0.26;0.39;LUXD;11.0;1.44;LUG;211.0;27.65;LEXD;71.0;9.31;LUC;131.0;17.17;LUD;297.0;38.93;LFI;36.0;4.72;6.0;0.78
