Code BV;Inscrits;Votants;perc Votants;Abstentions;perc Abstentions;Exprimes;perc Exprimes/inscrits;perc Exprimes/votants;Blancs;perc Blancs/inscrits;perc Blancs/votants;Nuls;perc Nuls/inscrits;perc Nuls/votants;Nuance liste 1;Voix 1;perc Voix/exprimes 1;Nuance liste 2;Voix 2;perc Voix/exprimes 2;Nuance liste 3;Voix 3;perc Voix/exprimes 3
0101;1122;734;65.42;388;34.58;718;63.99;97.82;12;1.07;1.63;4;0.36;0.54;LUG;308;42.9;LUD;356;49.58;LFI;54.0;7.52
0102;1217;750;61.63;467;38.37;741;60.89;98.8;7;0.58;0.93;2;0.16;0.27;LUG;371;50.07;LUD;340;45.88;LFI;30.0;4.05
0103;1255;776;61.83;479;38.17;758;60.4;97.68;10;0.8;1.29;8;0.64;1.03;LUG;403;53.17;LUD;312;41.16;LFI;43.0;5.67
0104;1329;785;59.07;544;40.93;775;58.31;98.73;8;0.6;1.02;2;0.15;0.25;LUG;407;52.52;LUD;297;38.32;LFI;71.0;9.16
0105;1133;693;61.17;440;38.83;680;60.02;98.12;11;0.97;1.59;2;0.18;0.29;LUG;357;52.5;LUD;276;40.59;LFI;47.0;6.91
0106;1313;809;61.61;504;38.39;796;60.62;98.39;10;0.76;1.24;3;0.23;0.37;LUG;392;49.25;LUD;367;46.11;LFI;37.0;4.65
0107;1122;719;64.08;403;35.92;705;62.83;98.05;8;0.71;1.11;6;0.53;0.83;LUG;304;43.12;LUD;375;53.19;LFI;26.0;3.69
0108;1021;600;58.77;421;41.23;585;57.3;97.5;11;1.08;1.83;4;0.39;0.67;LUG;206;35.21;LUD;363;62.05;LFI;16.0;2.74
0109;948;603;63.61;345;36.39;594;62.66;98.51;7;0.74;1.16;2;0.21;0.33;LUG;190;31.99;LUD;388;65.32;LFI;16.0;2.69
0110;932;563;60.41;369;39.59;551;59.12;97.87;10;1.07;1.78;2;0.21;0.36;LUG;180;32.67;LUD;351;63.7;LFI;20.0;3.63
